,lat,lon,ano,mes
8935,-7.2399375206127985,323.0,2018,8
8936,-7.2399375206127985,323.0,2018,9
8937,-7.2399375206127985,323.0,2018,10
8938,-7.2399375206127985,323.0,2018,11
8939,-7.2399375206127985,323.0,2018,12
8940,-7.2399375206127985,323.0,2019,1
8941,-7.2399375206127985,323.0,2019,2
8942,-7.2399375206127985,323.0,2019,3
8943,-7.2399375206127985,323.0,2019,4
8944,-7.2399375206127985,323.0,2019,5
8945,-7.2399375206127985,323.0,2019,6
8946,-7.2399375206127985,323.0,2019,7
8947,-7.2399375206127985,323.0,2019,8
8948,-7.2399375206127985,323.0,2019,9
8949,-7.2399375206127985,323.0,2019,10
8950,-7.2399375206127985,323.0,2019,11
8951,-7.2399375206127985,323.0,2019,12
8952,-7.2399375206127985,323.0,2020,1
8953,-7.2399375206127985,323.0,2020,2
8954,-7.2399375206127985,323.0,2020,3
8955,-7.2399375206127985,323.0,2020,4
8956,-7.2399375206127985,323.0,2020,5
8957,-7.2399375206127985,323.0,2020,6
8958,-7.2399375206127985,323.0,2020,7
8959,-7.2399375206127985,323.0,2020,8
8960,-7.2399375206127985,323.0,2020,9
8961,-7.2399375206127985,323.0,2020,10
8962,-7.2399375206127985,323.0,2020,11
8963,-7.2399375206127985,323.0,2020,12
8964,-7.2399375206127985,323.0,2021,1
8965,-7.2399375206127985,323.0,2021,2
8966,-7.2399375206127985,323.0,2021,3
8967,-7.2399375206127985,323.0,2021,4
8968,-7.2399375206127985,323.0,2021,5
8969,-7.2399375206127985,323.0,2021,6
8970,-7.2399375206127985,323.0,2021,7
8971,-7.2399375206127985,323.0,2021,8
8972,-7.2399375206127985,323.0,2021,9
8973,-7.2399375206127985,323.0,2021,10
8974,-7.2399375206127985,323.0,2021,11
8975,-7.2399375206127985,323.0,2021,12
8976,-7.2399375206127985,323.0,2022,1
8977,-7.2399375206127985,323.0,2022,2
8978,-7.2399375206127985,323.0,2022,3
8979,-7.2399375206127985,323.0,2022,4
8980,-7.2399375206127985,323.0,2022,5
8981,-7.2399375206127985,323.0,2022,6
8982,-7.2399375206127985,323.0,2022,7
8983,-7.2399375206127985,323.0,2022,8
8984,-7.2399375206127985,323.0,2022,9
8985,-7.2399375206127985,323.0,2022,10
8986,-7.2399375206127985,323.0,2022,11
8987,-7.2399375206127985,323.0,2022,12
8988,-7.2399375206127985,323.0,2023,1
8989,-7.2399375206127985,323.0,2023,2
8990,-7.2399375206127985,323.0,2023,3
8991,-7.2399375206127985,323.0,2023,4
8992,-7.2399375206127985,323.0,2023,5
8993,-7.2399375206127985,323.0,2023,6
8994,-7.2399375206127985,323.0,2023,7
8995,-7.2399375206127985,323.0,2023,8
8996,-7.2399375206127985,323.0,2023,9
8997,-7.2399375206127985,323.0,2023,10
8998,-7.2399375206127985,323.0,2023,11
8999,-7.2399375206127985,323.0,2023,12
9000,-7.2399375206127985,323.5,1994,1
9001,-7.2399375206127985,323.5,1994,2
9002,-7.2399375206127985,323.5,1994,3
9003,-7.2399375206127985,323.5,1994,4
9004,-7.2399375206127985,323.5,1994,5
9005,-7.2399375206127985,323.5,1994,6
9006,-7.2399375206127985,323.5,1994,7
9007,-7.2399375206127985,323.5,1994,8
9008,-7.2399375206127985,323.5,1994,9
9009,-7.2399375206127985,323.5,1994,10
9010,-7.2399375206127985,323.5,1994,11
9011,-7.2399375206127985,323.5,1994,12
9012,-7.2399375206127985,323.5,1995,1
9013,-7.2399375206127985,323.5,1995,2
9014,-7.2399375206127985,323.5,1995,3
9015,-7.2399375206127985,323.5,1995,4
9016,-7.2399375206127985,323.5,1995,5
9017,-7.2399375206127985,323.5,1995,6
9018,-7.2399375206127985,323.5,1995,7
9019,-7.2399375206127985,323.5,1995,8
9020,-7.2399375206127985,323.5,1995,9
9021,-7.2399375206127985,323.5,1995,10
9022,-7.2399375206127985,323.5,1995,11
9023,-7.2399375206127985,323.5,1995,12
9024,-7.2399375206127985,323.5,1996,1
9025,-7.2399375206127985,323.5,1996,2
9026,-7.2399375206127985,323.5,1996,3
9027,-7.2399375206127985,323.5,1996,4
9028,-7.2399375206127985,323.5,1996,5
9029,-7.2399375206127985,323.5,1996,6
9030,-7.2399375206127985,323.5,1996,7
9031,-7.2399375206127985,323.5,1996,8
9032,-7.2399375206127985,323.5,1996,9
9033,-7.2399375206127985,323.5,1996,10
9034,-7.2399375206127985,323.5,1996,11
9035,-7.2399375206127985,323.5,1996,12
9036,-7.2399375206127985,323.5,1997,1
9037,-7.2399375206127985,323.5,1997,2
9038,-7.2399375206127985,323.5,1997,3
9039,-7.2399375206127985,323.5,1997,4
9040,-7.2399375206127985,323.5,1997,5
9041,-7.2399375206127985,323.5,1997,6
9042,-7.2399375206127985,323.5,1997,7
9043,-7.2399375206127985,323.5,1997,8
9044,-7.2399375206127985,323.5,1997,9
9045,-7.2399375206127985,323.5,1997,10
9046,-7.2399375206127985,323.5,1997,11
9047,-7.2399375206127985,323.5,1997,12
9048,-7.2399375206127985,323.5,1998,1
9049,-7.2399375206127985,323.5,1998,2
9050,-7.2399375206127985,323.5,1998,3
9051,-7.2399375206127985,323.5,1998,4
9052,-7.2399375206127985,323.5,1998,5
9053,-7.2399375206127985,323.5,1998,6
9054,-7.2399375206127985,323.5,1998,7
9055,-7.2399375206127985,323.5,1998,8
9056,-7.2399375206127985,323.5,1998,9
9057,-7.2399375206127985,323.5,1998,10
9058,-7.2399375206127985,323.5,1998,11
9059,-7.2399375206127985,323.5,1998,12
9060,-7.2399375206127985,323.5,1999,1
9061,-7.2399375206127985,323.5,1999,2
9062,-7.2399375206127985,323.5,1999,3
9063,-7.2399375206127985,323.5,1999,4
9064,-7.2399375206127985,323.5,1999,5
9065,-7.2399375206127985,323.5,1999,6
9066,-7.2399375206127985,323.5,1999,7
9067,-7.2399375206127985,323.5,1999,8
9068,-7.2399375206127985,323.5,1999,9
9069,-7.2399375206127985,323.5,1999,10
9070,-7.2399375206127985,323.5,1999,11
9071,-7.2399375206127985,323.5,1999,12
9072,-7.2399375206127985,323.5,2000,1
9073,-7.2399375206127985,323.5,2000,2
9074,-7.2399375206127985,323.5,2000,3
9075,-7.2399375206127985,323.5,2000,4
9076,-7.2399375206127985,323.5,2000,5
9077,-7.2399375206127985,323.5,2000,6
9078,-7.2399375206127985,323.5,2000,7
9079,-7.2399375206127985,323.5,2000,8
9080,-7.2399375206127985,323.5,2000,9
9081,-7.2399375206127985,323.5,2000,10
9082,-7.2399375206127985,323.5,2000,11
9083,-7.2399375206127985,323.5,2000,12
9084,-7.2399375206127985,323.5,2001,1
9085,-7.2399375206127985,323.5,2001,2
9086,-7.2399375206127985,323.5,2001,3
9087,-7.2399375206127985,323.5,2001,4
9088,-7.2399375206127985,323.5,2001,5
9089,-7.2399375206127985,323.5,2001,6
9090,-7.2399375206127985,323.5,2001,7
9091,-7.2399375206127985,323.5,2001,8
9092,-7.2399375206127985,323.5,2001,9
9093,-7.2399375206127985,323.5,2001,10
9094,-7.2399375206127985,323.5,2001,11
9095,-7.2399375206127985,323.5,2001,12
9096,-7.2399375206127985,323.5,2002,1
9097,-7.2399375206127985,323.5,2002,2
9098,-7.2399375206127985,323.5,2002,3
9099,-7.2399375206127985,323.5,2002,4
9100,-7.2399375206127985,323.5,2002,5
9101,-7.2399375206127985,323.5,2002,6
9102,-7.2399375206127985,323.5,2002,7
9103,-7.2399375206127985,323.5,2002,8
9104,-7.2399375206127985,323.5,2002,9
9105,-7.2399375206127985,323.5,2002,10
9106,-7.2399375206127985,323.5,2002,11
9107,-7.2399375206127985,323.5,2002,12
9108,-7.2399375206127985,323.5,2003,1
9109,-7.2399375206127985,323.5,2003,2
9110,-7.2399375206127985,323.5,2003,3
9111,-7.2399375206127985,323.5,2003,4
9112,-7.2399375206127985,323.5,2003,5
9113,-7.2399375206127985,323.5,2003,6
9114,-7.2399375206127985,323.5,2003,7
9115,-7.2399375206127985,323.5,2003,8
9116,-7.2399375206127985,323.5,2003,9
9117,-7.2399375206127985,323.5,2003,10
9118,-7.2399375206127985,323.5,2003,11
9119,-7.2399375206127985,323.5,2003,12
9120,-7.2399375206127985,323.5,2004,1
9121,-7.2399375206127985,323.5,2004,2
9122,-7.2399375206127985,323.5,2004,3
9123,-7.2399375206127985,323.5,2004,4
9124,-7.2399375206127985,323.5,2004,5
9125,-7.2399375206127985,323.5,2004,6
9126,-7.2399375206127985,323.5,2004,7
9127,-7.2399375206127985,323.5,2004,8
9128,-7.2399375206127985,323.5,2004,9
9129,-7.2399375206127985,323.5,2004,10
9130,-7.2399375206127985,323.5,2004,11
9131,-7.2399375206127985,323.5,2004,12
9132,-7.2399375206127985,323.5,2005,1
9133,-7.2399375206127985,323.5,2005,2
9134,-7.2399375206127985,323.5,2005,3
9135,-7.2399375206127985,323.5,2005,4
9136,-7.2399375206127985,323.5,2005,5
9137,-7.2399375206127985,323.5,2005,6
9138,-7.2399375206127985,323.5,2005,7
9139,-7.2399375206127985,323.5,2005,8
9140,-7.2399375206127985,323.5,2005,9
9141,-7.2399375206127985,323.5,2005,10
9142,-7.2399375206127985,323.5,2005,11
9143,-7.2399375206127985,323.5,2005,12
9144,-7.2399375206127985,323.5,2006,1
9145,-7.2399375206127985,323.5,2006,2
9146,-7.2399375206127985,323.5,2006,3
9147,-7.2399375206127985,323.5,2006,4
9148,-7.2399375206127985,323.5,2006,5
9149,-7.2399375206127985,323.5,2006,6
9150,-7.2399375206127985,323.5,2006,7
9151,-7.2399375206127985,323.5,2006,8
9152,-7.2399375206127985,323.5,2006,9
9153,-7.2399375206127985,323.5,2006,10
9154,-7.2399375206127985,323.5,2006,11
9155,-7.2399375206127985,323.5,2006,12
9156,-7.2399375206127985,323.5,2007,1
9157,-7.2399375206127985,323.5,2007,2
9158,-7.2399375206127985,323.5,2007,3
9159,-7.2399375206127985,323.5,2007,4
9160,-7.2399375206127985,323.5,2007,5
9161,-7.2399375206127985,323.5,2007,6
9162,-7.2399375206127985,323.5,2007,7
9163,-7.2399375206127985,323.5,2007,8
9164,-7.2399375206127985,323.5,2007,9
9165,-7.2399375206127985,323.5,2007,10
9166,-7.2399375206127985,323.5,2007,11
9167,-7.2399375206127985,323.5,2007,12
9168,-7.2399375206127985,323.5,2008,1
9169,-7.2399375206127985,323.5,2008,2
9170,-7.2399375206127985,323.5,2008,3
9171,-7.2399375206127985,323.5,2008,4
9172,-7.2399375206127985,323.5,2008,5
9173,-7.2399375206127985,323.5,2008,6
9174,-7.2399375206127985,323.5,2008,7
9175,-7.2399375206127985,323.5,2008,8
9176,-7.2399375206127985,323.5,2008,9
9177,-7.2399375206127985,323.5,2008,10
9178,-7.2399375206127985,323.5,2008,11
9179,-7.2399375206127985,323.5,2008,12
9180,-7.2399375206127985,323.5,2009,1
9181,-7.2399375206127985,323.5,2009,2
9182,-7.2399375206127985,323.5,2009,3
9183,-7.2399375206127985,323.5,2009,4
9184,-7.2399375206127985,323.5,2009,5
9185,-7.2399375206127985,323.5,2009,6
9186,-7.2399375206127985,323.5,2009,7
9187,-7.2399375206127985,323.5,2009,8
9188,-7.2399375206127985,323.5,2009,9
9189,-7.2399375206127985,323.5,2009,10
9190,-7.2399375206127985,323.5,2009,11
9191,-7.2399375206127985,323.5,2009,12
9192,-7.2399375206127985,323.5,2010,1
9193,-7.2399375206127985,323.5,2010,2
9194,-7.2399375206127985,323.5,2010,3
9195,-7.2399375206127985,323.5,2010,4
9196,-7.2399375206127985,323.5,2010,5
9197,-7.2399375206127985,323.5,2010,6
9198,-7.2399375206127985,323.5,2010,7
9199,-7.2399375206127985,323.5,2010,8
9200,-7.2399375206127985,323.5,2010,9
9201,-7.2399375206127985,323.5,2010,10
9202,-7.2399375206127985,323.5,2010,11
9203,-7.2399375206127985,323.5,2010,12
9204,-7.2399375206127985,323.5,2011,1
9205,-7.2399375206127985,323.5,2011,2
9206,-7.2399375206127985,323.5,2011,3
9207,-7.2399375206127985,323.5,2011,4
9208,-7.2399375206127985,323.5,2011,5
9209,-7.2399375206127985,323.5,2011,6
9210,-7.2399375206127985,323.5,2011,7
9211,-7.2399375206127985,323.5,2011,8
9212,-7.2399375206127985,323.5,2011,9
9213,-7.2399375206127985,323.5,2011,10
9214,-7.2399375206127985,323.5,2011,11
9215,-7.2399375206127985,323.5,2011,12
9216,-7.2399375206127985,323.5,2012,1
9217,-7.2399375206127985,323.5,2012,2
9218,-7.2399375206127985,323.5,2012,3
9219,-7.2399375206127985,323.5,2012,4
9220,-7.2399375206127985,323.5,2012,5
9221,-7.2399375206127985,323.5,2012,6
9222,-7.2399375206127985,323.5,2012,7
9223,-7.2399375206127985,323.5,2012,8
9224,-7.2399375206127985,323.5,2012,9
9225,-7.2399375206127985,323.5,2012,10
9226,-7.2399375206127985,323.5,2012,11
9227,-7.2399375206127985,323.5,2012,12
