,lat,lon,ano,mes,IDW
0,-8.238549579800534,321.0,1994,1,294.22634072542735
1,-8.238549579800534,321.0,1994,2,193.1318849581849
2,-8.238549579800534,321.0,1994,3,143.7932398701784
3,-8.238549579800534,321.0,1994,4,155.55065170900278
4,-8.238549579800534,321.0,1994,5,120.41387562299751
5,-8.238549579800534,321.0,1994,6,84.35763805184587
6,-8.238549579800534,321.0,1994,7,10.924208950902505
7,-8.238549579800534,321.0,1994,8,0.07839095589589572
8,-8.238549579800534,321.0,1994,9,2.004507530010299
9,-8.238549579800534,321.0,1994,10,4.166253253165005
10,-8.238549579800534,321.0,1994,11,0.05179827949122119
11,-8.238549579800534,321.0,1994,12,75.7854578324404
12,-8.238549579800534,321.0,1995,1,75.16408496282452
13,-8.238549579800534,321.0,1995,2,148.4868748995947
14,-8.238549579800534,321.0,1995,3,275.7839836495246
15,-8.238549579800534,321.0,1995,4,230.2331167507838
16,-8.238549579800534,321.0,1995,5,120.26530311437583
17,-8.238549579800534,321.0,1995,6,22.900507985144216
18,-8.238549579800534,321.0,1995,7,21.630503606744526
19,-8.238549579800534,321.0,1995,8,0.14265570704012978
20,-8.238549579800534,321.0,1995,9,0.0
21,-8.238549579800534,321.0,1995,10,1.5100315782053615
22,-8.238549579800534,321.0,1995,11,70.09865225312276
23,-8.238549579800534,321.0,1995,12,11.576894520932735
24,-8.238549579800534,321.0,1996,1,123.5508483183013
25,-8.238549579800534,321.0,1996,2,139.2134789435815
26,-8.238549579800534,321.0,1996,3,227.45253345013538
27,-8.238549579800534,321.0,1996,4,124.63015110452005
28,-8.238549579800534,321.0,1996,5,77.89131338961603
29,-8.238549579800534,321.0,1996,6,18.532284037457323
30,-8.238549579800534,321.0,1996,7,2.095431608911226
31,-8.238549579800534,321.0,1996,8,5.95842513313655
32,-8.238549579800534,321.0,1996,9,0.9382926395790787
33,-8.238549579800534,321.0,1996,10,2.9303987444005912
34,-8.238549579800534,321.0,1996,11,43.662497968169575
35,-8.238549579800534,321.0,1996,12,39.94365737227603
36,-8.238549579800534,321.0,1997,1,131.33954717769026
37,-8.238549579800534,321.0,1997,2,64.97459521961797
38,-8.238549579800534,321.0,1997,3,218.66248247675878
39,-8.238549579800534,321.0,1997,4,100.30791338619234
40,-8.238549579800534,321.0,1997,5,87.4203251420099
41,-8.238549579800534,321.0,1997,6,20.959739573819785
42,-8.238549579800534,321.0,1997,7,25.68536710729697
43,-8.238549579800534,321.0,1997,8,4.8444838018117675
44,-8.238549579800534,321.0,1997,9,0.0
45,-8.238549579800534,321.0,1997,10,23.0632807991772
46,-8.238549579800534,321.0,1997,11,60.785578315928284
47,-8.238549579800534,321.0,1997,12,47.72545201212916
48,-8.238549579800534,321.0,1998,1,87.54353209083229
49,-8.238549579800534,321.0,1998,2,37.278399165110535
50,-8.238549579800534,321.0,1998,3,106.23859380438398
51,-8.238549579800534,321.0,1998,4,76.6955389546854
52,-8.238549579800534,321.0,1998,5,0.01923528728373328
53,-8.238549579800534,321.0,1998,6,2.7661536944929246
54,-8.238549579800534,321.0,1998,7,2.8121679160838244
55,-8.238549579800534,321.0,1998,8,2.278088886354788
56,-8.238549579800534,321.0,1998,9,0.0
57,-8.238549579800534,321.0,1998,10,0.0005179503443479399
58,-8.238549579800534,321.0,1998,11,0.9331507273217393
59,-8.238549579800534,321.0,1998,12,16.11210631267196
60,-8.238549579800534,321.0,1999,1,96.14682514072798
61,-8.238549579800534,321.0,1999,2,116.51055589905592
62,-8.238549579800534,321.0,1999,3,257.4268633618293
63,-8.238549579800534,321.0,1999,4,42.53794786744083
64,-8.238549579800534,321.0,1999,5,78.56928173617898
65,-8.238549579800534,321.0,1999,6,2.0566866557614127
66,-8.238549579800534,321.0,1999,7,12.22590626428524
67,-8.238549579800534,321.0,1999,8,0.08508761007583764
68,-8.238549579800534,321.0,1999,9,0.00718038119676673
69,-8.238549579800534,321.0,1999,10,14.212815733024886
70,-8.238549579800534,321.0,1999,11,55.43828868303101
71,-8.238549579800534,321.0,1999,12,105.20470882582786
72,-8.238549579800534,321.0,2000,1,128.33196810757582
73,-8.238549579800534,321.0,2000,2,182.22577761973736
74,-8.238549579800534,321.0,2000,3,151.15622290298268
75,-8.238549579800534,321.0,2000,4,227.0539013389934
76,-8.238549579800534,321.0,2000,5,32.61936158280278
77,-8.238549579800534,321.0,2000,6,12.321331881547735
78,-8.238549579800534,321.0,2000,7,13.39660574524672
79,-8.238549579800534,321.0,2000,8,11.096297707062483
80,-8.238549579800534,321.0,2000,9,30.19935785537969
81,-8.238549579800534,321.0,2000,10,12.945683037159405
82,-8.238549579800534,321.0,2000,11,0.05034835812362705
83,-8.238549579800534,321.0,2000,12,93.60610672536917
84,-8.238549579800534,321.0,2001,1,43.117685883929404
85,-8.238549579800534,321.0,2001,2,88.61957191839478
86,-8.238549579800534,321.0,2001,3,258.1210624921281
87,-8.238549579800534,321.0,2001,4,36.12185982495501
88,-8.238549579800534,321.0,2001,5,35.24025339402694
89,-8.238549579800534,321.0,2001,6,22.66283348319428
90,-8.238549579800534,321.0,2001,7,14.419241244434852
91,-8.238549579800534,321.0,2001,8,1.4537988826955377
92,-8.238549579800534,321.0,2001,9,2.300057935305918
93,-8.238549579800534,321.0,2001,10,43.32416662166662
94,-8.238549579800534,321.0,2001,11,6.30148021596793
95,-8.238549579800534,321.0,2001,12,85.2027353101431
96,-8.238549579800534,321.0,2002,1,294.40760694553757
97,-8.238549579800534,321.0,2002,2,76.27210277729246
98,-8.238549579800534,321.0,2002,3,175.8041008372206
