,Unnamed: 0,lat,lon,alt,bac,ano,mes,pr_local,pnt,IDW
0,,-8.238549579800534,-39.0,,,1994,1,,-8.238549579800534;-39.0,208.58092109936823
1,,-8.238549579800534,-39.0,,,1994,2,,-8.238549579800534;-39.0,148.50693239209073
2,,-8.238549579800534,-39.0,,,1994,3,,-8.238549579800534;-39.0,119.91230269686028
3,,-8.238549579800534,-39.0,,,1994,4,,-8.238549579800534;-39.0,129.46353848077067
4,,-8.238549579800534,-39.0,,,1994,5,,-8.238549579800534;-39.0,96.11069343084792
5,,-8.238549579800534,-39.0,,,1994,6,,-8.238549579800534;-39.0,82.05992711222399
6,,-8.238549579800534,-39.0,,,1994,7,,-8.238549579800534;-39.0,24.775299500796688
7,,-8.238549579800534,-39.0,,,1994,8,,-8.238549579800534;-39.0,18.32345112950562
8,,-8.238549579800534,-39.0,,,1994,9,,-8.238549579800534;-39.0,19.927556149605014
9,,-8.238549579800534,-39.0,,,1994,10,,-8.238549579800534;-39.0,22.377789967704892
10,,-8.238549579800534,-39.0,,,1994,11,,-8.238549579800534;-39.0,18.32345112950562
11,,-8.238549579800534,-39.0,,,1994,12,,-8.238549579800534;-39.0,68.20093091002563
12,,-8.238549579800534,-39.0,,,1995,1,,-8.238549579800534;-39.0,56.35914619467134
13,,-8.238549579800534,-39.0,,,1995,2,,-8.238549579800534;-39.0,131.95824303020737
14,,-8.238549579800534,-39.0,,,1995,3,,-8.238549579800534;-39.0,241.4978198194152
15,,-8.238549579800534,-39.0,,,1995,4,,-8.238549579800534;-39.0,175.9159269080409
16,,-8.238549579800534,-39.0,,,1995,5,,-8.238549579800534;-39.0,95.07449541284619
17,,-8.238549579800534,-39.0,,,1995,6,,-8.238549579800534;-39.0,35.68270823275029
18,,-8.238549579800534,-39.0,,,1995,7,,-8.238549579800534;-39.0,29.658564875843297
19,,-8.238549579800534,-39.0,,,1995,8,,-8.238549579800534;-39.0,18.32345112950562
20,,-8.238549579800534,-39.0,,,1995,9,,-8.238549579800534;-39.0,18.32345112950562
21,,-8.238549579800534,-39.0,,,1995,10,,-8.238549579800534;-39.0,19.779474053732645
22,,-8.238549579800534,-39.0,,,1995,11,,-8.238549579800534;-39.0,68.53640563674168
23,,-8.238549579800534,-39.0,,,1995,12,,-8.238549579800534;-39.0,25.282441119586213
24,,-8.238549579800534,-39.0,,,1996,1,,-8.238549579800534;-39.0,121.81385902854967
25,,-8.238549579800534,-39.0,,,1996,2,,-8.238549579800534;-39.0,103.8740845978482
26,,-8.238549579800534,-39.0,,,1996,3,,-8.238549579800534;-39.0,203.19500141200305
27,,-8.238549579800534,-39.0,,,1996,4,,-8.238549579800534;-39.0,105.04102896323866
28,,-8.238549579800534,-39.0,,,1996,5,,-8.238549579800534;-39.0,69.13272973073852
29,,-8.238549579800534,-39.0,,,1996,6,,-8.238549579800534;-39.0,29.775896543559902
30,,-8.238549579800534,-39.0,,,1996,7,,-8.238549579800534;-39.0,18.32345112950562
31,,-8.238549579800534,-39.0,,,1996,8,,-8.238549579800534;-39.0,22.757505277794863
32,,-8.238549579800534,-39.0,,,1996,9,,-8.238549579800534;-39.0,19.18520414088522
33,,-8.238549579800534,-39.0,,,1996,10,,-8.238549579800534;-39.0,18.32345112950562
34,,-8.238549579800534,-39.0,,,1996,11,,-8.238549579800534;-39.0,56.514306277264055
35,,-8.238549579800534,-39.0,,,1996,12,,-8.238549579800534;-39.0,53.21678902446063
36,,-8.238549579800534,-39.0,,,1997,1,,-8.238549579800534;-39.0,108.91147283815513
37,,-8.238549579800534,-39.0,,,1997,2,,-8.238549579800534;-39.0,64.23226367593924
38,,-8.238549579800534,-39.0,,,1997,3,,-8.238549579800534;-39.0,176.5784108397328
39,,-8.238549579800534,-39.0,,,1997,4,,-8.238549579800534;-39.0,84.37119951825947
40,,-8.238549579800534,-39.0,,,1997,5,,-8.238549579800534;-39.0,62.75580743727362
41,,-8.238549579800534,-39.0,,,1997,6,,-8.238549579800534;-39.0,39.44890207682101
42,,-8.238549579800534,-39.0,,,1997,7,,-8.238549579800534;-39.0,39.68497944260052
43,,-8.238549579800534,-39.0,,,1997,8,,-8.238549579800534;-39.0,20.084708762573946
44,,-8.238549579800534,-39.0,,,1997,9,,-8.238549579800534;-39.0,18.32345112950562
45,,-8.238549579800534,-39.0,,,1997,10,,-8.238549579800534;-39.0,37.83637670794215
46,,-8.238549579800534,-39.0,,,1997,11,,-8.238549579800534;-39.0,66.38178785398806
47,,-8.238549579800534,-39.0,,,1997,12,,-8.238549579800534;-39.0,58.03770691432278
48,,-8.238549579800534,-39.0,,,1998,1,,-8.238549579800534;-39.0,78.57618215056594
49,,-8.238549579800534,-39.0,,,1998,2,,-8.238549579800534;-39.0,40.595875628417566
50,,-8.238549579800534,-39.0,,,1998,3,,-8.238549579800534;-39.0,86.92113842899872
51,,-8.238549579800534,-39.0,,,1998,4,,-8.238549579800534;-39.0,53.28041077674821
52,,-8.238549579800534,-39.0,,,1998,5,,-8.238549579800534;-39.0,18.32345112950562
53,,-8.238549579800534,-39.0,,,1998,6,,-8.238549579800534;-39.0,20.70964725693436
54,,-8.238549579800534,-39.0,,,1998,7,,-8.238549579800534;-39.0,18.32345112950562
55,,-8.238549579800534,-39.0,,,1998,8,,-8.238549579800534;-39.0,20.613149944873367
56,,-8.238549579800534,-39.0,,,1998,9,,-8.238549579800534;-39.0,18.32345112950562
57,,-8.238549579800534,-39.0,,,1998,10,,-8.238549579800534;-39.0,18.32345112950562
