,lat,lon,ano,mes,pr_local
0,-8.238549579800534,321.0,1994,1,237.96064210236898
1,-8.238549579800534,321.0,1994,2,167.32570770054346
2,-8.238549579800534,321.0,1994,3,134.81504730398927
3,-8.238549579800534,321.0,1994,4,153.00280561813807
4,-8.238549579800534,321.0,1994,5,125.34877981163862
5,-8.238549579800534,321.0,1994,6,93.28775816059415
6,-8.238549579800534,321.0,1994,7,30.973819057212054
7,-8.238549579800534,321.0,1994,8,19.927538691622026
8,-8.238549579800534,321.0,1994,9,15.041001462072149
9,-8.238549579800534,321.0,1994,10,9.499725382576111
10,-8.238549579800534,321.0,1994,11,3.9400286616344267
11,-8.238549579800534,321.0,1994,12,63.1608816233146
12,-8.238549579800534,321.0,1995,1,72.70067970947991
13,-8.238549579800534,321.0,1995,2,140.48465757414436
14,-8.238549579800534,321.0,1995,3,234.5747723239473
15,-8.238549579800534,321.0,1995,4,221.0814572085432
16,-8.238549579800534,321.0,1995,5,126.55256743811614
17,-8.238549579800534,321.0,1995,6,39.258365684942845
18,-8.238549579800534,321.0,1995,7,46.87473721762416
19,-8.238549579800534,321.0,1995,8,16.47251091477984
20,-8.238549579800534,321.0,1995,9,8.34876722027593
21,-8.238549579800534,321.0,1995,10,6.779751870988982
22,-8.238549579800534,321.0,1995,11,70.2601560437892
23,-8.238549579800534,321.0,1995,12,12.516423775922863
24,-8.238549579800534,321.0,1996,1,113.95641499458465
25,-8.238549579800534,321.0,1996,2,124.1361205680638
26,-8.238549579800534,321.0,1996,3,201.44401909221375
27,-8.238549579800534,321.0,1996,4,125.39738579298135
28,-8.238549579800534,321.0,1996,5,84.82418801681825
29,-8.238549579800534,321.0,1996,6,35.34684635753032
30,-8.238549579800534,321.0,1996,7,27.28489339168451
31,-8.238549579800534,321.0,1996,8,20.30042848988758
32,-8.238549579800534,321.0,1996,9,11.094996766893091
33,-8.238549579800534,321.0,1996,10,9.259006801090958
34,-8.238549579800534,321.0,1996,11,38.74469020687154
35,-8.238549579800534,321.0,1996,12,33.69984566190303
36,-8.238549579800534,321.0,1997,1,128.73977073612537
37,-8.238549579800534,321.0,1997,2,76.1041509023223
38,-8.238549579800534,321.0,1997,3,192.2866050480675
39,-8.238549579800534,321.0,1997,4,108.68412062944682
40,-8.238549579800534,321.0,1997,5,92.1667012104061
41,-8.238549579800534,321.0,1997,6,37.02747480689663
42,-8.238549579800534,321.0,1997,7,44.65206312278668
43,-8.238549579800534,321.0,1997,8,20.467094058401706
44,-8.238549579800534,321.0,1997,9,9.16900170617257
45,-8.238549579800534,321.0,1997,10,24.94261033444181
46,-8.238549579800534,321.0,1997,11,57.782831051472996
47,-8.238549579800534,321.0,1997,12,39.74939700268875
48,-8.238549579800534,321.0,1998,1,88.00916058363076
49,-8.238549579800534,321.0,1998,2,34.37396630458114
50,-8.238549579800534,321.0,1998,3,105.9329559595916
51,-8.238549579800534,321.0,1998,4,80.87017563252671
52,-8.238549579800534,321.0,1998,5,22.787840083919164
53,-8.238549579800534,321.0,1998,6,27.212125236813808
54,-8.238549579800534,321.0,1998,7,26.634464961857542
55,-8.238549579800534,321.0,1998,8,18.835337241428448
56,-8.238549579800534,321.0,1998,9,9.922630109966754
57,-8.238549579800534,321.0,1998,10,5.369461615227177
58,-8.238549579800534,321.0,1998,11,5.1205782158057875
59,-8.238549579800534,321.0,1998,12,19.171432205146473
60,-8.238549579800534,321.0,1999,1,97.05425959043454
61,-8.238549579800534,321.0,1999,2,101.87706551466202
62,-8.238549579800534,321.0,1999,3,226.12367226001416
63,-8.238549579800534,321.0,1999,4,43.11098073421207
64,-8.238549579800534,321.0,1999,5,82.92029264388741
65,-8.238549579800534,321.0,1999,6,26.57228579579008
66,-8.238549579800534,321.0,1999,7,31.170466206171582
67,-8.238549579800534,321.0,1999,8,19.929208762810326
68,-8.238549579800534,321.0,1999,9,11.182389598405148
69,-8.238549579800534,321.0,1999,10,17.64491895760041
70,-8.238549579800534,321.0,1999,11,46.92993532823314
71,-8.238549579800534,321.0,1999,12,99.06813441300561
72,-8.238549579800534,321.0,2000,1,118.53189381129678
73,-8.238549579800534,321.0,2000,2,173.23627448312186
74,-8.238549579800534,321.0,2000,3,146.32167262438617
75,-8.238549579800534,321.0,2000,4,225.88391237881072
76,-8.238549579800534,321.0,2000,5,43.28187197599172
77,-8.238549579800534,321.0,2000,6,36.581216925216424
78,-8.238549579800534,321.0,2000,7,31.393412714521364
79,-8.238549579800534,321.0,2000,8,28.202262751190077
80,-8.238549579800534,321.0,2000,9,36.17458521693789
81,-8.238549579800534,321.0,2000,10,15.473590046196472
82,-8.238549579800534,321.0,2000,11,5.586543816009978
83,-8.238549579800534,321.0,2000,12,93.78560711652408
84,-8.238549579800534,321.0,2001,1,44.35896783662964
85,-8.238549579800534,321.0,2001,2,88.55646335586135
86,-8.238549579800534,321.0,2001,3,234.78927733619784
87,-8.238549579800534,321.0,2001,4,43.89071533358171
88,-8.238549579800534,321.0,2001,5,44.789772654349726
89,-8.238549579800534,321.0,2001,6,44.1345767402217
90,-8.238549579800534,321.0,2001,7,33.714516900958245
91,-8.238549579800534,321.0,2001,8,22.190585922313712
92,-8.238549579800534,321.0,2001,9,13.347715932020458
93,-8.238549579800534,321.0,2001,10,42.53267167831593
94,-8.238549579800534,321.0,2001,11,11.115054470428358
95,-8.238549579800534,321.0,2001,12,77.8864377378269
96,-8.238549579800534,321.0,2002,1,226.7109139101138
97,-8.238549579800534,321.0,2002,2,90.0930269542525
98,-8.238549579800534,321.0,2002,3,177.58945725948962
