,lat,lon,ano,mes,pnt
31,-8.238549579800534,321.0,1996,8,-8.238549579800534;321.0
32,-8.238549579800534,321.0,1996,9,-8.238549579800534;321.0
33,-8.238549579800534,321.0,1996,10,-8.238549579800534;321.0
34,-8.238549579800534,321.0,1996,11,-8.238549579800534;321.0
35,-8.238549579800534,321.0,1996,12,-8.238549579800534;321.0
36,-8.238549579800534,321.0,1997,1,-8.238549579800534;321.0
37,-8.238549579800534,321.0,1997,2,-8.238549579800534;321.0
38,-8.238549579800534,321.0,1997,3,-8.238549579800534;321.0
39,-8.238549579800534,321.0,1997,4,-8.238549579800534;321.0
40,-8.238549579800534,321.0,1997,5,-8.238549579800534;321.0
41,-8.238549579800534,321.0,1997,6,-8.238549579800534;321.0
42,-8.238549579800534,321.0,1997,7,-8.238549579800534;321.0
43,-8.238549579800534,321.0,1997,8,-8.238549579800534;321.0
44,-8.238549579800534,321.0,1997,9,-8.238549579800534;321.0
45,-8.238549579800534,321.0,1997,10,-8.238549579800534;321.0
46,-8.238549579800534,321.0,1997,11,-8.238549579800534;321.0
47,-8.238549579800534,321.0,1997,12,-8.238549579800534;321.0
48,-8.238549579800534,321.0,1998,1,-8.238549579800534;321.0
49,-8.238549579800534,321.0,1998,2,-8.238549579800534;321.0
50,-8.238549579800534,321.0,1998,3,-8.238549579800534;321.0
51,-8.238549579800534,321.0,1998,4,-8.238549579800534;321.0
52,-8.238549579800534,321.0,1998,5,-8.238549579800534;321.0
53,-8.238549579800534,321.0,1998,6,-8.238549579800534;321.0
54,-8.238549579800534,321.0,1998,7,-8.238549579800534;321.0
55,-8.238549579800534,321.0,1998,8,-8.238549579800534;321.0
56,-8.238549579800534,321.0,1998,9,-8.238549579800534;321.0
57,-8.238549579800534,321.0,1998,10,-8.238549579800534;321.0
58,-8.238549579800534,321.0,1998,11,-8.238549579800534;321.0
59,-8.238549579800534,321.0,1998,12,-8.238549579800534;321.0
60,-8.238549579800534,321.0,1999,1,-8.238549579800534;321.0
61,-8.238549579800534,321.0,1999,2,-8.238549579800534;321.0
62,-8.238549579800534,321.0,1999,3,-8.238549579800534;321.0
63,-8.238549579800534,321.0,1999,4,-8.238549579800534;321.0
64,-8.238549579800534,321.0,1999,5,-8.238549579800534;321.0
65,-8.238549579800534,321.0,1999,6,-8.238549579800534;321.0
66,-8.238549579800534,321.0,1999,7,-8.238549579800534;321.0
67,-8.238549579800534,321.0,1999,8,-8.238549579800534;321.0
68,-8.238549579800534,321.0,1999,9,-8.238549579800534;321.0
69,-8.238549579800534,321.0,1999,10,-8.238549579800534;321.0
70,-8.238549579800534,321.0,1999,11,-8.238549579800534;321.0
71,-8.238549579800534,321.0,1999,12,-8.238549579800534;321.0
72,-8.238549579800534,321.0,2000,1,-8.238549579800534;321.0
73,-8.238549579800534,321.0,2000,2,-8.238549579800534;321.0
74,-8.238549579800534,321.0,2000,3,-8.238549579800534;321.0
75,-8.238549579800534,321.0,2000,4,-8.238549579800534;321.0
76,-8.238549579800534,321.0,2000,5,-8.238549579800534;321.0
77,-8.238549579800534,321.0,2000,6,-8.238549579800534;321.0
78,-8.238549579800534,321.0,2000,7,-8.238549579800534;321.0
79,-8.238549579800534,321.0,2000,8,-8.238549579800534;321.0
80,-8.238549579800534,321.0,2000,9,-8.238549579800534;321.0
81,-8.238549579800534,321.0,2000,10,-8.238549579800534;321.0
82,-8.238549579800534,321.0,2000,11,-8.238549579800534;321.0
83,-8.238549579800534,321.0,2000,12,-8.238549579800534;321.0
84,-8.238549579800534,321.0,2001,1,-8.238549579800534;321.0
85,-8.238549579800534,321.0,2001,2,-8.238549579800534;321.0
86,-8.238549579800534,321.0,2001,3,-8.238549579800534;321.0
87,-8.238549579800534,321.0,2001,4,-8.238549579800534;321.0
88,-8.238549579800534,321.0,2001,5,-8.238549579800534;321.0
89,-8.238549579800534,321.0,2001,6,-8.238549579800534;321.0
90,-8.238549579800534,321.0,2001,7,-8.238549579800534;321.0
91,-8.238549579800534,321.0,2001,8,-8.238549579800534;321.0
92,-8.238549579800534,321.0,2001,9,-8.238549579800534;321.0
93,-8.238549579800534,321.0,2001,10,-8.238549579800534;321.0
94,-8.238549579800534,321.0,2001,11,-8.238549579800534;321.0
95,-8.238549579800534,321.0,2001,12,-8.238549579800534;321.0
96,-8.238549579800534,321.0,2002,1,-8.238549579800534;321.0
97,-8.238549579800534,321.0,2002,2,-8.238549579800534;321.0
98,-8.238549579800534,321.0,2002,3,-8.238549579800534;321.0
99,-8.238549579800534,321.0,2002,4,-8.238549579800534;321.0
100,-8.238549579800534,321.0,2002,5,-8.238549579800534;321.0
101,-8.238549579800534,321.0,2002,6,-8.238549579800534;321.0
102,-8.238549579800534,321.0,2002,7,-8.238549579800534;321.0
103,-8.238549579800534,321.0,2002,8,-8.238549579800534;321.0
104,-8.238549579800534,321.0,2002,9,-8.238549579800534;321.0
105,-8.238549579800534,321.0,2002,10,-8.238549579800534;321.0
106,-8.238549579800534,321.0,2002,11,-8.238549579800534;321.0
107,-8.238549579800534,321.0,2002,12,-8.238549579800534;321.0
108,-8.238549579800534,321.0,2003,1,-8.238549579800534;321.0
109,-8.238549579800534,321.0,2003,2,-8.238549579800534;321.0
110,-8.238549579800534,321.0,2003,3,-8.238549579800534;321.0
111,-8.238549579800534,321.0,2003,4,-8.238549579800534;321.0
112,-8.238549579800534,321.0,2003,5,-8.238549579800534;321.0
113,-8.238549579800534,321.0,2003,6,-8.238549579800534;321.0
114,-8.238549579800534,321.0,2003,7,-8.238549579800534;321.0
115,-8.238549579800534,321.0,2003,8,-8.238549579800534;321.0
116,-8.238549579800534,321.0,2003,9,-8.238549579800534;321.0
117,-8.238549579800534,321.0,2003,10,-8.238549579800534;321.0
118,-8.238549579800534,321.0,2003,11,-8.238549579800534;321.0
119,-8.238549579800534,321.0,2003,12,-8.238549579800534;321.0
120,-8.238549579800534,321.0,2004,1,-8.238549579800534;321.0
121,-8.238549579800534,321.0,2004,2,-8.238549579800534;321.0
122,-8.238549579800534,321.0,2004,3,-8.238549579800534;321.0
123,-8.238549579800534,321.0,2004,4,-8.238549579800534;321.0
124,-8.238549579800534,321.0,2004,5,-8.238549579800534;321.0
125,-8.238549579800534,321.0,2004,6,-8.238549579800534;321.0
126,-8.238549579800534,321.0,2004,7,-8.238549579800534;321.0
127,-8.238549579800534,321.0,2004,8,-8.238549579800534;321.0
128,-8.238549579800534,321.0,2004,9,-8.238549579800534;321.0
129,-8.238549579800534,321.0,2004,10,-8.238549579800534;321.0
130,-8.238549579800534,321.0,2004,11,-8.238549579800534;321.0
131,-8.238549579800534,321.0,2004,12,-8.238549579800534;321.0
132,-8.238549579800534,321.0,2005,1,-8.238549579800534;321.0
133,-8.238549579800534,321.0,2005,2,-8.238549579800534;321.0
134,-8.238549579800534,321.0,2005,3,-8.238549579800534;321.0
135,-8.238549579800534,321.0,2005,4,-8.238549579800534;321.0
136,-8.238549579800534,321.0,2005,5,-8.238549579800534;321.0
137,-8.238549579800534,321.0,2005,6,-8.238549579800534;321.0
138,-8.238549579800534,321.0,2005,7,-8.238549579800534;321.0
139,-8.238549579800534,321.0,2005,8,-8.238549579800534;321.0
140,-8.238549579800534,321.0,2005,9,-8.238549579800534;321.0
141,-8.238549579800534,321.0,2005,10,-8.238549579800534;321.0
142,-8.238549579800534,321.0,2005,11,-8.238549579800534;321.0
143,-8.238549579800534,321.0,2005,12,-8.238549579800534;321.0
144,-8.238549579800534,321.0,2006,1,-8.238549579800534;321.0
145,-8.238549579800534,321.0,2006,2,-8.238549579800534;321.0
146,-8.238549579800534,321.0,2006,3,-8.238549579800534;321.0
147,-8.238549579800534,321.0,2006,4,-8.238549579800534;321.0
148,-8.238549579800534,321.0,2006,5,-8.238549579800534;321.0
149,-8.238549579800534,321.0,2006,6,-8.238549579800534;321.0
150,-8.238549579800534,321.0,2006,7,-8.238549579800534;321.0
151,-8.238549579800534,321.0,2006,8,-8.238549579800534;321.0
152,-8.238549579800534,321.0,2006,9,-8.238549579800534;321.0
153,-8.238549579800534,321.0,2006,10,-8.238549579800534;321.0
154,-8.238549579800534,321.0,2006,11,-8.238549579800534;321.0
155,-8.238549579800534,321.0,2006,12,-8.238549579800534;321.0
156,-8.238549579800534,321.0,2007,1,-8.238549579800534;321.0
157,-8.238549579800534,321.0,2007,2,-8.238549579800534;321.0
158,-8.238549579800534,321.0,2007,3,-8.238549579800534;321.0
159,-8.238549579800534,321.0,2007,4,-8.238549579800534;321.0
160,-8.238549579800534,321.0,2007,5,-8.238549579800534;321.0
161,-8.238549579800534,321.0,2007,6,-8.238549579800534;321.0
162,-8.238549579800534,321.0,2007,7,-8.238549579800534;321.0
163,-8.238549579800534,321.0,2007,8,-8.238549579800534;321.0
164,-8.238549579800534,321.0,2007,9,-8.238549579800534;321.0
165,-8.238549579800534,321.0,2007,10,-8.238549579800534;321.0
166,-8.238549579800534,321.0,2007,11,-8.238549579800534;321.0
167,-8.238549579800534,321.0,2007,12,-8.238549579800534;321.0
168,-8.238549579800534,321.0,2008,1,-8.238549579800534;321.0
169,-8.238549579800534,321.0,2008,2,-8.238549579800534;321.0
170,-8.238549579800534,321.0,2008,3,-8.238549579800534;321.0
171,-8.238549579800534,321.0,2008,4,-8.238549579800534;321.0
172,-8.238549579800534,321.0,2008,5,-8.238549579800534;321.0
173,-8.238549579800534,321.0,2008,6,-8.238549579800534;321.0
174,-8.238549579800534,321.0,2008,7,-8.238549579800534;321.0
175,-8.238549579800534,321.0,2008,8,-8.238549579800534;321.0
176,-8.238549579800534,321.0,2008,9,-8.238549579800534;321.0
177,-8.238549579800534,321.0,2008,10,-8.238549579800534;321.0
178,-8.238549579800534,321.0,2008,11,-8.238549579800534;321.0
179,-8.238549579800534,321.0,2008,12,-8.238549579800534;321.0
180,-8.238549579800534,321.0,2009,1,-8.238549579800534;321.0
181,-8.238549579800534,321.0,2009,2,-8.238549579800534;321.0
182,-8.238549579800534,321.0,2009,3,-8.238549579800534;321.0
183,-8.238549579800534,321.0,2009,4,-8.238549579800534;321.0
184,-8.238549579800534,321.0,2009,5,-8.238549579800534;321.0
185,-8.238549579800534,321.0,2009,6,-8.238549579800534;321.0
186,-8.238549579800534,321.0,2009,7,-8.238549579800534;321.0
187,-8.238549579800534,321.0,2009,8,-8.238549579800534;321.0
188,-8.238549579800534,321.0,2009,9,-8.238549579800534;321.0
189,-8.238549579800534,321.0,2009,10,-8.238549579800534;321.0
190,-8.238549579800534,321.0,2009,11,-8.238549579800534;321.0
191,-8.238549579800534,321.0,2009,12,-8.238549579800534;321.0
192,-8.238549579800534,321.0,2010,1,-8.238549579800534;321.0
193,-8.238549579800534,321.0,2010,2,-8.238549579800534;321.0
194,-8.238549579800534,321.0,2010,3,-8.238549579800534;321.0
195,-8.238549579800534,321.0,2010,4,-8.238549579800534;321.0
196,-8.238549579800534,321.0,2010,5,-8.238549579800534;321.0
197,-8.238549579800534,321.0,2010,6,-8.238549579800534;321.0
198,-8.238549579800534,321.0,2010,7,-8.238549579800534;321.0
199,-8.238549579800534,321.0,2010,8,-8.238549579800534;321.0
200,-8.238549579800534,321.0,2010,9,-8.238549579800534;321.0
201,-8.238549579800534,321.0,2010,10,-8.238549579800534;321.0
202,-8.238549579800534,321.0,2010,11,-8.238549579800534;321.0
203,-8.238549579800534,321.0,2010,12,-8.238549579800534;321.0
204,-8.238549579800534,321.0,2011,1,-8.238549579800534;321.0
205,-8.238549579800534,321.0,2011,2,-8.238549579800534;321.0
206,-8.238549579800534,321.0,2011,3,-8.238549579800534;321.0
207,-8.238549579800534,321.0,2011,4,-8.238549579800534;321.0
208,-8.238549579800534,321.0,2011,5,-8.238549579800534;321.0
209,-8.238549579800534,321.0,2011,6,-8.238549579800534;321.0
210,-8.238549579800534,321.0,2011,7,-8.238549579800534;321.0
211,-8.238549579800534,321.0,2011,8,-8.238549579800534;321.0
212,-8.238549579800534,321.0,2011,9,-8.238549579800534;321.0
213,-8.238549579800534,321.0,2011,10,-8.238549579800534;321.0
214,-8.238549579800534,321.0,2011,11,-8.238549579800534;321.0
215,-8.238549579800534,321.0,2011,12,-8.238549579800534;321.0
216,-8.238549579800534,321.0,2012,1,-8.238549579800534;321.0
217,-8.238549579800534,321.0,2012,2,-8.238549579800534;321.0
218,-8.238549579800534,321.0,2012,3,-8.238549579800534;321.0
219,-8.238549579800534,321.0,2012,4,-8.238549579800534;321.0
220,-8.238549579800534,321.0,2012,5,-8.238549579800534;321.0
221,-8.238549579800534,321.0,2012,6,-8.238549579800534;321.0
222,-8.238549579800534,321.0,2012,7,-8.238549579800534;321.0
223,-8.238549579800534,321.0,2012,8,-8.238549579800534;321.0
224,-8.238549579800534,321.0,2012,9,-8.238549579800534;321.0
225,-8.238549579800534,321.0,2012,10,-8.238549579800534;321.0
226,-8.238549579800534,321.0,2012,11,-8.238549579800534;321.0
227,-8.238549579800534,321.0,2012,12,-8.238549579800534;321.0
228,-8.238549579800534,321.0,2013,1,-8.238549579800534;321.0
229,-8.238549579800534,321.0,2013,2,-8.238549579800534;321.0
