,lat,lon,ano,mes,pr
0,-8.238549579800534,321.0,1994,1,0.0012843881181947999
1,-8.238549579800534,321.0,1994,2,0.0030112249697
2,-8.238549579800534,321.0,1994,3,0.0054609232973
3,-8.238549579800534,321.0,1994,4,0.00290056047719
4,-8.238549579800534,321.0,1994,5,0.00047423363235
5,-8.238549579800534,321.0,1994,6,0.00054735607107
6,-8.238549579800534,321.0,1994,7,0.00031649089223
7,-8.238549579800534,321.0,1994,8,0.0001296478189783
8,-8.238549579800534,321.0,1994,9,1.100278839401064e-05
9,-8.238549579800534,321.0,1994,10,1.16053287448e-05
10,-8.238549579800534,321.0,1994,11,0.00019366022863871973
11,-8.238549579800534,321.0,1994,12,0.0021085733123
12,-8.238549579800534,321.0,1995,1,0.0024728133429
13,-8.238549579800534,321.0,1995,2,0.0017016712629
14,-8.238549579800534,321.0,1995,3,0.00416625161365
15,-8.238549579800534,321.0,1995,4,0.0025242063541
16,-8.238549579800534,321.0,1995,5,0.00044287254530200003
17,-8.238549579800534,321.0,1995,6,0.00038208751548
18,-8.238549579800534,321.0,1995,7,0.0001253260086105
19,-8.238549579800534,321.0,1995,8,1.851651989526463e-05
20,-8.238549579800534,321.0,1995,9,1.74701728281e-05
21,-8.238549579800534,321.0,1995,10,0.0004756803654751871
22,-8.238549579800534,321.0,1995,11,0.00038900078874765
23,-8.238549579800534,321.0,1995,12,0.001269003964192
24,-8.238549579800534,321.0,1996,1,0.0019853124958
25,-8.238549579800534,321.0,1996,2,0.0043673194293
26,-8.238549579800534,321.0,1996,3,0.005657403529
27,-8.238549579800534,321.0,1996,4,0.0025840964553
28,-8.238549579800534,321.0,1996,5,0.0013920330734
29,-8.238549579800534,321.0,1996,6,0.00027826127074
30,-8.238549579800534,321.0,1996,7,9.1650885328e-05
31,-8.238549579800534,321.0,1996,8,5.2992950097076e-05
32,-8.238549579800534,321.0,1996,9,8.075005601936968e-05
33,-8.238549579800534,321.0,1996,10,0.0002539010311752
34,-8.238549579800534,321.0,1996,11,0.0006083005722905
35,-8.238549579800534,321.0,1996,12,0.00271924449389
36,-8.238549579800534,321.0,1997,1,0.0019301404569
37,-8.238549579800534,321.0,1997,2,0.00575770653475
38,-8.238549579800534,321.0,1997,3,0.0038654449945
39,-8.238549579800534,321.0,1997,4,0.0040677724679
40,-8.238549579800534,321.0,1997,5,0.00184000799
41,-8.238549579800534,321.0,1997,6,0.0006278766549852
42,-8.238549579800534,321.0,1997,7,0.00013435840577000001
43,-8.238549579800534,321.0,1997,8,3.45723562614e-05
44,-8.238549579800534,321.0,1997,9,3.1162391618051e-05
45,-8.238549579800534,321.0,1997,10,1.236838735098355e-05
46,-8.238549579800534,321.0,1997,11,1.1189705614506162e-05
47,-8.238549579800534,321.0,1997,12,0.001031479362424348
48,-8.238549579800534,321.0,1998,1,0.00294880630126105
49,-8.238549579800534,321.0,1998,2,0.0040242152043
50,-8.238549579800534,321.0,1998,3,0.0054025185735047
51,-8.238549579800534,321.0,1998,4,0.002740322573764
52,-8.238549579800534,321.0,1998,5,0.000720297180605
53,-8.238549579800534,321.0,1998,6,0.00024891511996999997
54,-8.238549579800534,321.0,1998,7,0.00010392354134000001
55,-8.238549579800534,321.0,1998,8,0.0001047851707436
56,-8.238549579800534,321.0,1998,9,4.2033939939316e-05
57,-8.238549579800534,321.0,1998,10,0.0003019024038778
58,-8.238549579800534,321.0,1998,11,6.904644651156e-05
59,-8.238549579800534,321.0,1998,12,0.003024118935057
60,-8.238549579800534,321.0,1999,1,0.00292040403863
61,-8.238549579800534,321.0,1999,2,0.00404862458828
62,-8.238549579800534,321.0,1999,3,0.0043570380496
63,-8.238549579800534,321.0,1999,4,0.0027402543704
64,-8.238549579800534,321.0,1999,5,0.001402277944773
65,-8.238549579800534,321.0,1999,6,0.00043238948809999996
66,-8.238549579800534,321.0,1999,7,0.000228907185649326
67,-8.238549579800534,321.0,1999,8,3.52570235215189e-05
68,-8.238549579800534,321.0,1999,9,6.592261120700001e-05
69,-8.238549579800534,321.0,1999,10,9.15441978852e-05
70,-8.238549579800534,321.0,1999,11,0.0011999819637006214
71,-8.238549579800534,321.0,1999,12,0.000486964946416
72,-8.238549579800534,321.0,2000,1,0.00282608888528685
73,-8.238549579800534,321.0,2000,2,0.0045838718801000005
74,-8.238549579800534,321.0,2000,3,0.0050397897130000004
75,-8.238549579800534,321.0,2000,4,0.0038377125569
76,-8.238549579800534,321.0,2000,5,0.0025403986852
77,-8.238549579800534,321.0,2000,6,0.00044218262757000004
78,-8.238549579800534,321.0,2000,7,0.000184030442270913
79,-8.238549579800534,321.0,2000,8,5.9051069783000004e-05
80,-8.238549579800534,321.0,2000,9,6.59118729517045e-05
