,lat,lon,ano,mes,pr_local
138,-7.5118,-37.6366,2005,7,23.2
139,-7.5118,-37.6366,2005,8,53.2
140,-7.5118,-37.6366,2005,9,0.0
141,-7.5118,-37.6366,2005,10,0.0
142,-7.5118,-37.6366,2005,11,0.0
143,-7.5118,-37.6366,2005,12,42.0
144,-7.5118,-37.6366,2006,1,1.0
145,-7.5118,-37.6366,2006,2,159.9
146,-7.5118,-37.6366,2006,3,225.0
147,-7.5118,-37.6366,2006,4,303.0
148,-7.5118,-37.6366,2006,5,180.8
149,-7.5118,-37.6366,2006,6,41.0
150,-7.5118,-37.6366,2006,7,27.8
151,-7.5118,-37.6366,2006,8,17.2
152,-7.5118,-37.6366,2006,9,3.6
153,-7.5118,-37.6366,2006,10,30.0
154,-7.5118,-37.6366,2006,11,3.0
155,-7.5118,-37.6366,2006,12,3.4
156,-7.5118,-37.6366,2007,1,32.8
157,-7.5118,-37.6366,2007,2,212.8
158,-7.5118,-37.6366,2007,3,124.8
159,-7.5118,-37.6366,2007,4,106.0
160,-7.5118,-37.6366,2007,5,167.2
161,-7.5118,-37.6366,2007,6,63.2
162,-7.5118,-37.6366,2007,7,18.2
163,-7.5118,-37.6366,2007,8,8.6
164,-7.5118,-37.6366,2007,9,3.2
165,-7.5118,-37.6366,2007,10,0.0
166,-7.5118,-37.6366,2007,11,0.0
167,-7.5118,-37.6366,2007,12,0.0
168,-7.5118,-37.6366,2008,1,60.8
169,-7.5118,-37.6366,2008,2,114.0
170,-7.5118,-37.6366,2008,3,439.2
171,-7.5118,-37.6366,2008,4,215.6
172,-7.5118,-37.6366,2008,5,177.8
173,-7.5118,-37.6366,2008,6,41.2
174,-7.5118,-37.6366,2008,7,40.4
175,-7.5118,-37.6366,2008,8,29.8
176,-7.5118,-37.6366,2008,9,4.2
177,-7.5118,-37.6366,2008,10,0.0
178,-7.5118,-37.6366,2008,11,0.0
179,-7.5118,-37.6366,2008,12,21.6
180,-7.5118,-37.6366,2009,1,80.6
181,-7.5118,-37.6366,2009,2,227.8
182,-7.5118,-37.6366,2009,3,147.4
183,-7.5118,-37.6366,2009,4,198.2
184,-7.5118,-37.6366,2009,5,309.2
185,-7.5118,-37.6366,2009,6,20.0
186,-7.5118,-37.6366,2009,7,34.0
187,-7.5118,-37.6366,2009,8,49.4
188,-7.5118,-37.6366,2009,9,2.6
189,-7.5118,-37.6366,2009,10,0.0
190,-7.5118,-37.6366,2009,11,4.6
191,-7.5118,-37.6366,2009,12,58.8
192,-7.5118,-37.6366,2010,1,242.0
193,-7.5118,-37.6366,2010,2,33.6
194,-7.5118,-37.6366,2010,3,87.6
195,-7.5118,-37.6366,2010,4,130.8
196,-7.5118,-37.6366,2010,5,17.0
197,-7.5118,-37.6366,2010,6,130.4
198,-7.5118,-37.6366,2010,7,20.2
199,-7.5118,-37.6366,2010,8,6.2
200,-7.5118,-37.6366,2010,9,10.0
201,-7.5118,-37.6366,2010,10,114.4
202,-7.5118,-37.6366,2010,11,0.0
203,-7.5118,-37.6366,2010,12,127.2
204,-7.5118,-37.6366,2011,1,147.0
205,-7.5118,-37.6366,2011,2,211.2
206,-7.5118,-37.6366,2011,3,98.4
207,-7.5118,-37.6366,2011,4,88.6
208,-7.5118,-37.6366,2011,5,247.4
209,-7.5118,-37.6366,2011,6,88.2
210,-7.5118,-37.6366,2011,7,46.4
211,-7.5118,-37.6366,2011,8,19.2
212,-7.5118,-37.6366,2011,9,7.0
213,-7.5118,-37.6366,2011,10,31.4
214,-7.5118,-37.6366,2011,11,8.6
215,-7.5118,-37.6366,2011,12,0.0
216,-7.5118,-37.6366,2012,1,56.2
217,-7.5118,-37.6366,2012,2,119.8
218,-7.5118,-37.6366,2012,3,13.6
219,-7.5118,-37.6366,2012,4,4.0
220,-7.5118,-37.6366,2012,5,19.0
221,-7.5118,-37.6366,2012,6,39.6
222,-7.5118,-37.6366,2012,7,6.0
223,-7.5118,-37.6366,2012,8,3.0
224,-7.5118,-37.6366,2012,9,0.0
225,-7.5118,-37.6366,2012,10,0.0
226,-7.5118,-37.6366,2012,11,2.4
227,-7.5118,-37.6366,2012,12,14.2
228,-7.5118,-37.6366,2013,1,30.4
229,-7.5118,-37.6366,2013,2,43.2
230,-7.5118,-37.6366,2013,3,42.2
231,-7.5118,-37.6366,2013,4,111.2
232,-7.5118,-37.6366,2013,5,59.4
233,-7.5118,-37.6366,2013,6,109.6
234,-7.5118,-37.6366,2013,7,72.6
235,-7.5118,-37.6366,2013,8,5.8
236,-7.5118,-37.6366,2013,9,3.4
237,-7.5118,-37.6366,2013,10,9.0
238,-7.5118,-37.6366,2013,11,8.8
239,-7.5118,-37.6366,2013,12,114.4
240,-7.5118,-37.6366,2014,1,12.2
241,-7.5118,-37.6366,2014,2,60.2
242,-7.5118,-37.6366,2014,3,149.0
243,-7.5118,-37.6366,2014,4,153.0
244,-7.5118,-37.6366,2014,5,125.0
245,-7.5118,-37.6366,2014,6,23.8
246,-7.5118,-37.6366,2014,7,40.0
247,-7.5118,-37.6366,2014,8,38.0
248,-7.5118,-37.6366,2014,9,10.0
249,-7.5118,-37.6366,2014,10,9.4
250,-7.5118,-37.6366,2014,11,50.0
251,-7.5118,-37.6366,2014,12,10.0
252,-7.5118,-37.6366,2015,1,52.0
253,-7.5118,-37.6366,2015,2,44.8
254,-7.5118,-37.6366,2015,3,228.4
255,-7.5118,-37.6366,2015,4,79.6
256,-7.5118,-37.6366,2015,5,19.6
257,-7.5118,-37.6366,2015,6,60.2
258,-7.5118,-37.6366,2015,7,87.0
259,-7.5118,-37.6366,2015,8,8.4
260,-7.5118,-37.6366,2015,9,0.0
261,-7.5118,-37.6366,2015,10,2.0
262,-7.5118,-37.6366,2015,11,0.0
263,-7.5118,-37.6366,2015,12,13.0
264,-7.5118,-37.6366,2016,1,143.8
265,-7.5118,-37.6366,2016,2,32.8
266,-7.5118,-37.6366,2016,3,188.6
267,-7.5118,-37.6366,2016,4,84.0
268,-7.5118,-37.6366,2016,5,102.8
269,-7.5118,-37.6366,2016,6,0.0
270,-7.5118,-37.6366,2016,7,0.0
271,-7.5118,-37.6366,2016,8,2.0
272,-7.5118,-37.6366,2016,9,0.0
273,-7.5118,-37.6366,2016,10,0.0
274,-7.5118,-37.6366,2016,11,0.0
275,-7.5118,-37.6366,2016,12,12.2
276,-7.5118,-37.6366,2017,1,19.2
277,-7.5118,-37.6366,2017,2,112.2
278,-7.5118,-37.6366,2017,3,156.2
279,-7.5118,-37.6366,2017,4,110.4
280,-7.5118,-37.6366,2017,5,115.0
281,-7.5118,-37.6366,2017,6,95.0
282,-7.5118,-37.6366,2017,7,110.4
283,-7.5118,-37.6366,2017,8,2.2
284,-7.5118,-37.6366,2017,9,10.6
